"ID" "TIMESTAMP" "DAY" "DIST" "MAX" "MIN" "MEAN" "MEDIAN"
"20131021-130311" "2013-10-21T13:03:12Z" "Mon" 67.4002298531616 97.54392949812 0 27.4430518039768 29.584955019384
"20131023-010637" "2013-10-23T01:06:38Z" "Wed" 24.660399066053 61.28455974516 0 23.4898540560126 22.49157371931
"20131024-130421" "2013-10-24T13:04:22Z" "Thu" 76.4283973522054 112.18709080944 0 29.0207054906354 28.146313317492
"20131026-145422" "2013-10-26T14:54:23Z" "Sat" 55.956274677827 69.07481937 0 17.9030223462188 16.38593216919
"20131028-130958" "2013-10-28T13:09:59Z" "Mon" 75.9212164676139 188.08655304996 0 30.4533162764085 29.732086784052
"20131030-005235" "2013-10-30T00:52:36Z" "Wed" 30.6599293394033 70.68289303908 0.13444074119628 23.9434250991472 22.927834553418
"20131101-011647" "2013-11-01T01:16:48Z" "Fri" 22.3402632193907 52.81631522712 0.07358089178556 24.9723874789724 24.244112451852
"20131102-150211" "2013-11-02T15:02:12Z" "Sat" 96.5437495036013 106.29688340088 0 17.9222882143708 13.714618627188
"20131104-141328" "2013-11-04T14:13:36Z" "Mon" 66.393995095877 102.29962477068 0.05240390544396 27.809583493033 30.955859745624
"20131105-140354" "2013-11-05T14:03:55Z" "Tue" 76.1845026976501 145.40913076608 0.06936386821632 29.9729820845263 28.997559761292
"20131107-140400" "2013-11-07T14:04:01Z" "Thu" 67.0477659856874 93.28968128376 0 28.5803930296583 31.236651592128
"20131109-145823" "2013-11-09T14:58:24Z" "Sat" 191.114553207503 444.656769408 0 25.3360311306899 23.936781847698
"20131112-140606" "2013-11-12T14:06:07Z" "Tue" 76.7099268772393 122.64058637136 0 29.1105645697739 27.65043136134
"20131113-140303" "2013-11-13T14:03:04Z" "Wed" 76.3295485233578 112.7517686568 0 29.3158656144125 28.366478787456
"20131116-152445" "2013-11-16T15:24:48Z" "Sat" 42.7043224041229 153.25948814472 0 21.5122884468404 20.215480567644
"20131118-001716" "2013-11-18T00:17:17Z" "Mon" 45.3111844138127 97.3884312702 0 20.9762270326268 20.105881987104
"20131122-134930" "2013-11-22T13:49:31Z" "Fri" 75.1421106712613 83.41792846884 0 28.3938378101392 27.588706094106
"20131202-090523" "2013-12-02T09:05:24Z" "Mon" 39.0214423615779 66.08335095108 2.7869520806388 27.6647740034185 27.291464215992
"20131204-091621" "2013-12-04T09:16:24Z" "Wed" 27.0002086343559 95.4013407822 0 28.5883527269541 27.762628924314
"20131205-084355" "2013-12-05T08:43:56Z" "Thu" 39.3804994902382 78.05764621512 0 27.9336074209728 27.007438846446
"20131211-140547" "2013-12-11T14:05:48Z" "Wed" 76.7109304994605 117.49345705368 0 25.7767024078679 24.474414426606
"20131212-233813" "2013-12-12T23:38:14Z" "Fri" 50.7646358651512 145.02921898176 0 21.0839764655257 19.3448074518
"20131213-141810" "2013-12-13T14:18:11Z" "Fri" 67.3568622924873 164.87014062708 0.026518030634556 25.2669936694198 27.033948251172
"20131215-150610" "2013-12-15T15:06:11Z" "Sun" 61.7475990209251 129.28631211792 0 23.5284518608844 22.419471830994
"20131218-140814" "2013-12-18T14:08:15Z" "Wed" 67.0346341523682 70.46643894012 0 26.6993252407364 29.224904517468
"20131219-140556" "2013-12-19T14:05:57Z" "Thu" 68.0943676169918 67.66929936576 0 26.3253293350865 28.976730800184
"20131221-153504" "2013-12-21T15:35:05Z" "Sat" 45.40149526088 85.96340423172 0 21.4896566698283 19.513483458372
"20131222-160112" "2013-12-22T16:01:16Z" "Sun" 90.4005979848171 75.83088430728 0.011893858237116 22.6552084334053 19.036369778832
"20131225-155844" "2013-12-25T15:58:45Z" "Wed" 92.0702434012516 139.99241666376 0 22.63065297922 20.139037921458
"20131226-232103" "2013-12-26T23:21:04Z" "Fri" 65.1288325952342 137.55521256768 0 21.7810951754262 20.200961559168
"20131227-141638" "2013-12-27T14:16:44Z" "Fri" 68.4327114596652 90.61103089008 0.03585692422422 26.445792456917 28.330145947548
